Karatetreener III,5
Karatetreener IV,2
Karatetreener V,1
"Karjääriinfo spetsialist, tase 5",17
"Karjääriinfo spetsialist, tase 6",10
Karjäärinõustaja IV,2
Karjäärinõustaja V,4
"Karjäärinõustaja, tase 6",43
"Karjäärinõustaja, tase 7",5
"Karuslooma- ja küülikukasvataja, tase 4",8
"Karusloomakasvatusspetsialist, tase 5",2
Kaubakäsitleja I,73
Kaubakäsitleja I,297
Kaubakäsitleja II,5
Kaubakäsitleja II,14
Keemiaprotsesside operaator I,79
Keemiaprotsesside operaator II,6
"Keemiaprotsesside operaator, tase 4",47
Keevitaja I,730
Keevitaja I,859
Keevitaja I,567
Keevitaja II,28
"Keevitaja, tase 3",4
"Keevitaja, tase 4",3
Kelner I,300
"Kelner, tase 4",258
Kepikõnnitreener I,2
Kepikõnnitreener III,2
"Keraamikasell, tase 4",35
Kergejõustikutreener I,15
Kergejõustikutreener II,18
Kergejõustikutreener III,12
Kergejõustikutreener IV,9
Kergejõustikutreener V,7
"Keskkonnakaitse ja loodushoiu konsulent, tase 6",1
Keskkonnatehnika lukksepp I,169
Keskkonnatehnika lukksepp II,14
Keskkonnatehnika lukksepp III,2
Kickboxingutreener I,1
Kickboxingutreener III,2
Kickboxingutreener IV,3
Kinnisvara haldur II,71
Kinnisvara haldur III,34
Kinnisvara haldur IV,14
"Kinnisvara haldusjuht, tase 6",33
Kinnisvara hindaja IV,11
"Kinnisvara hindaja, tase 6",18
Kinnisvara hooldusjuht IV,18
"Kinnisvara hooldusjuht, tase 6",19
Kinnisvara hooldusmeister III,40
"Kinnisvara hooldusmeister, tase 5",48
"Kinnisvara nooremhindaja, tase 5",9
"Kinnisvarahaldur, tase 4",86
"Kinnisvarahaldur, tase 5",104
Kinnisvarahooldaja I,134
Kinnisvarahooldaja II,8
"Kinnisvarahooldaja, tase 4",9
Kinnisvaramaakler III,111
"Kinnisvaramaakler, tase 5",85
"Kitsekasvatuse konsulent, tase 5",3
Kliiniline kohtu- ja korrektsioonipsühholoog IV,1
Kliiniline lapsepsühholoog IV,6
Kliiniline lapsepsühholoog V,1
"Kliiniline lapsepsühholoog, tase 7",28
"Kliiniline logopeed, tase 7",25
"Kliiniline logopeed, tase 8",9
Kliiniline psühholoog IV,20
Kliiniline psühholoog V,1
"Kliiniline psühholoog, tase 7",107
"Kliiniline psühholoog, tase 8",4
Kliiniline psühholoog-psühhoterapeut IV,1
"Kliiniline psühholoog-psühhoterapeut, tase 7",25
"Kliiniline psühholoog-psühhoterapeut, tase 8",3
Kobudotreener II,1
Kobudotreener III,1
Kogukonna arengu konsulent IV,4
"Kogukonna arengu konsulent, tase 6",1
Kohtuarst-ekspert III,6
Kohtuarst-ekspert IV,6
Kohtuarst-ekspert V,1
Kohtuhistoloogiaekspert IV,1
"Kohtupsühhiaatriaekspert, tase 7",1
"Kohtupsühhiaatriaekspert, tase 8",4
Kokk I,2288
Kokk II,121
Kokk III,3
"Kokk, tase 4",1042
"Komposiitmaterjalist väikelaevade ehitaja, tase 3",18
Kondiiter I,30
Kondiiter II,20
"Kondiiter, tase 4",8
Konservaator III,5
Konservaator IV,9
Konsultant IV,39
Konsultant V,5
Koolipsühholoog III,29
Koolipsühholoog IV,19
Koolipsühholoog V,7
"Koolipsühholoog, tase 7",14
"Koolitusjuht, tase 6",1
"Koolitusspetsialist, tase 5",3
Koorijuht III,18
Koorijuht IV,21
Koorijuht V,13
"Koorijuht, tase 4",19
"Koorijuht, tase 5",2
"Koorijuht, tase 6",6
"Koorijuht, tase 7",1
Koostelukksepp I,200
Koostelukksepp I,197
Koostelukksepp I,92
Korstnapühkija I,49
Korstnapühkija II,12
"Korstnapühkija, tase 3",61
"Korstnapühkija, tase 4",168
"Korstnapühkija-meister, tase 5",15
Korterelamuhaldur II,13
"Korteriühistujuht, tase 4",19
Korvpallitreener I,32
Korvpallitreener II,22
Korvpallitreener III,25
Korvpallitreener IV,12
Korvpallitreener V,6
Kosmeetik I,421
"Kosmeetik, tase 5",79
"Krohvija, tase 4",2
Kudotreener I,4
Kudotreener II,3
Kudotreener III,2
Kudotreener IV,1
Kujundujumise treener II,2
Kulturismi ja fitnessi treener I,38
Kulturismi ja fitnessi treener II,5
Kulturismi ja fitnessi treener III,3
Kulturismi ja fitnessi treener IV,5
Kulturismi ja fitnessi treener V,5
"Kultuurikorraldaja, tase 4",4
"Kultuurikorraldaja, tase 4",6
"Kultuurikorraldaja, tase 6",7
"Kultuurikorraldaja, tase 6",5
"Kultuurikorraldaja, tase 7",1
Kultuuritöö juht V,2
Kultuuritöö spetsialist IV,2
Kultuuritöötaja III,2
"Kutseõpetaja III, EKR tase 5",14
"Kutseõpetaja IV, EKR tase 6",8
"Kutseõpetaja V, EKR tase 7",8
"Kutseõpetaja, tase 5",4
"Kutseõpetaja, tase 6",8
"Kutseõpetaja, tase 7",3
"Kuulmisvaldkonna abivahendi spetsialist, tase 5",3
"Kvaliteedijuht, tase 7",8
"Kvaliteedispetsialist, tase 5",17
"Kvaliteedispetsialist, tase 6",1
Käekirjaekspert IV,1
"Käekirjaekspert, tase 7",1
Käsipallitreener I,4
Käsipallitreener II,4
Käsipallitreener III,4
Käsipallitreener IV,13
Käsipallitreener V,4
"Käsitöö palkmaja tootja, tase 5",1
"Köitekonservaator, tase 5",1
"Köitekonservaator, tase 6",1
Külmamehaanik I,55
Külmamehaanik II,95
"Külmamehaanik, tase 3",19
"Külmamehaanik, tase 4",127
"Külmatehnika paigaldusjuht, tase 5",2
"Kütte- ja jahutussüsteemide lukksepp, tase 4",9
"Küülikukasvatusspetsialist, tase 5",7
Küünetehnik I,4
"Küünetehnik, tase 3",10
"Lamba- ja kitsekasvataja, tase 4",10
"Lamba- ja/või kitsekasvatusspetsialist, tase 5",22
"Lambakasvatuse konsulent, tase 5",6
Lamekatusekatja II,1
"Laohoidja, tase 5",20
Laopidaja III,41
"Laotöötaja, tase 4",325
Lapsehoidja II,447
Lapsehoidja III,2
"Lapsehoidja, tase 4",665
"Lapsehoidja, tase 4",236
Laskesuusatamistreener I,3
Laskesuusatamistreener II,1
Laskesuusatamistreener III,5
Laskesuusatamistreener V,1
Laskmistreener II,1
Laskmistreener III,1
Laskmistreener IV,2
"Lastemassaažiterapeut, tase 6",1
Lastemassöör II,2
Lauatennisetreener I,1
Lauatennisetreener II,4
Lauatennisetreener III,4
Lauatennisetreener IV,4
"Lavamees, tase 3",1
Lavameister II,8
Lavameister III,9
"Lavameister, tase 4",2
Lavatöötaja I,3
Lennundusinsener IV,3
Liiklusekspert IV,1
Liiklusekspert V,1
"Liikumise valdkonna abivahendi spetsialist, tase 5",5
"Liikurmasinatehnik, tase 4",4
"Linnukasvatusspetsialist, tase 5",14
Logistik III,5
Logistik IV,3
Logistik IV,5
"Logistik, tase 4",47
"Logistiku abi, tase 4",81
Logopeed III,12
Logopeed IV,20
Logopeed V,11
"Logopeed, tase 7",85
"Logopeed, tase 8",4
"Loomaarsti abiline, tase 4",51
Loomakasvatuse konsulent IV,5
Loomakasvatuse konsulent V,5
"Loomakasvatuse konsulent, tase 5",3
"Loovterapeut, tase 7",11
Lumelauatreener I,2
"Lõhkaja, tase 3",200
Lõhkeaineekspert IV,1
"Lõhkemeister, tase 4",202
Lõhkeseadeldiseekspert IV,2
"Lümfiterapeut, tase 6",17
Maadlustreener I,12
Maadlustreener II,3
Maadlustreener III,7
Maadlustreener IV,4
Maadlustreener V,1
Maaettevõtluse ja finantsmajanduse konsulent IV,21
Maaettevõtluse ja finantsmajanduse konsulent V,16
"Maaettevõtluse ja finantsmajanduse konsulent, tase 5",8
Maakorraldaja IV,8
"Maaler, tase 4",28
"Maamajanduse konsulent, tase 5",6
"Maamõõdutehnik, tase 4",12
"Maaparanduse konsulent, tase 5",1
Maastikuehitaja II,64
Maastikuehitaja III,9
"Maastikuehitaja, tase 4",8
"Maastikuvibu instruktor, tase 4",5
"Maastikuvibu vaneminstruktor, tase 5",3
Maletreener I,4
Maletreener II,6
Maletreener III,3
Maletreener IV,2
Maletreener V,1
Massaažiterapeut II,9
Massaažiterapeut III,1
Massöör I,356
Massöör II,47
Massöör III,5
"Massöör, tase 5",104
Matkatreener IV,1
Meditsiinilise kriminalistika ekspert V,1
Mehaanikainsener IV,3
"Mehaanikainsener, tase 6",3
Mehhatroonik I,25
Mehhatroonik II,59
Mehhatroonik II,210
"Meister-viipekeeletõlk, tase 7",1
Meisterkokk III,1
"Meistertreener, tase 7",109
"Meisterõpetaja, tase 8",21
Mesinduse konsulent IV,1
Mesinduse konsulent V,1
"Mesinduse konsulent, tase 5",3
"Mesinik, tase 5",11
Metalli ja lasujäägiekspert IV,1
Metallitöötlemispinkidel töötaja I,209
Metallitöötlemispinkidel töötaja I,198
Metallitöötlemispinkidel töötaja I,117
"Metallmaterjalist väikelaevade ehitaja, tase 3",2
Metsanduse konsulent IV,41
Metsanduse konsulent V,3
"Metsanduse konsulent, tase 5",21
"Metsanduse konsulent, tase 6",1
"Metsanduse spetsialist, tase 5",8
Metsur II,72
Metsur II,48
"Mootorsõidukidiagnostik, tase 5",8
"Mootorsõidukijuhi õpetaja, tase 6",38
Murdmaasuusatamise treener I,15
Murdmaasuusatamise treener II,3
Murdmaasuusatamise treener III,4
Murdmaasuusatamise treener IV,2
Mäeinsener IV,6
"Mäeinsener, tase 6",29
"Mäetehnik, tase 5",44
Mäetööline I,66
"Mäetööline, tase 4",51
"Mäetööline, tase 4",12
Mägimatkatreener I,4
Müügiassistent III,28
"Müügikorraldaja, tase 5",47
Müüja I,2241
Müüja II,13
"Müüja-klienditeenindaja, tase 4",427
Müürsepp I,617
Müürsepp II,6
Müürsepp III,4
"Müürsepp, tase 4",9
"Nahkkäsitöö valmistaja, tase 4",14
Narkootilise aine ekspert IV,2
Narkootilise aine ekspert V,1
Neuropsühholoog IV,6
Neuropsühholoog V,2
"Neuropsühholoog, tase 7",12
"Neuropsühholoog, tase 8",1
"Noorem tarkvaraarendaja, tase 4",19
"Noorem-maastikuehitaja, tase 3",99
"Noorem-viipekeeletõlk, tase 5",13
"Nooremaednik, tase 3",30
"Nooremtreener, tase 4",522
Noorsootöötaja III,18
Noorsootöötaja IV,4
Noorsootöötaja V,7
"Noorsootöötaja, tase 4",34
"Noorsootöötaja, tase 6",25
"Noorsootöötaja, tase 7",5
Nuad Bo-Rarn loodusterapeut II,5
Nõrkvoolusüsteemi paigaldaja I,104
"Ofsettrükkal, tase 4",4
"Ofsettrükkal, tase 4",15
"Operaator-lavastaja, tase 6",6
Orienteerumistreener III,2
Orienteerumistreener IV,3
Orienteerumistreener V,2
"Ortopeedilise valdkonna abivahendi spetsialist, tase 5",3
Pagar I,31
Pagar II,7
"Pagar, tase 4",5
Palkmaja ehitaja I,87
Palkmaja ehitaja II,4
Palkmaja ehitaja III,6
"Palkmajaehitaja, tase 3",41
"Palkmajaehitaja, tase 4",7
"Palkmajaehitaja, tase 5",8
"Pehme mööbli valmistaja, tase 4",8
"Perelepitaja, tase 6",5
"Perelepitaja, tase 7",3
Personaaltreener III,2
Personaaltreener IV,1
"Personaliarvestusspetsialist, tase 5",4
Personalijuht IV,4
"Personalijuht, tase 6",2
"Personalijuht, tase 7",8
"Personalijuht, tase 8",1
Personalispetsialist III,7
"Personalispetsialist, tase 5",50
